research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,44,True,800,0.9502994483527311,0.8679838295808601,-4.102488705559626e-05,True,100,0.9508953567273948,0.8674148997148382,-6.779059572736834e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,43,True,1100,0.9462545457018201,0.86085169266052,-3.339711410560442e-05,True,200,0.9466436112672656,0.8605211271643083,-6.779555823721584e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,45,True,600,0.9900135248766405,0.9760482849585186,-5.101711870508785e-05,True,100,0.9901351986388539,0.9759314290597411,-6.776827472343427e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,46,True,1200,0.9772556249019857,0.9003781979778848,-3.0316486131831688e-05,True,200,0.9774574659895626,0.9002516510300288,-6.778046055211373e-05,1.1102230246251565e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,47,True,900,0.9819483029303285,0.9471136339161857,-3.821956090871437e-05,True,200,0.982152845299895,0.9469263674288579,-6.776980164668878e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,48,True,800,0.9778449901484652,0.920089290717966,-4.2784354167935135e-05,True,100,0.9774188411965122,0.9205169519291649,-6.777486819331546e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,50,True,900,0.9811216841018462,0.8683666935056676,-3.847223990055548e-05,True,200,0.9812327598440626,0.8683145967327821,-6.777814755609679e-05,0.0,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,49,True,900,0.9781727161458786,0.8760202213564753,-3.953568345532732e-05,True,200,0.9782488149063598,0.8759724907735257,-6.77790897417041e-05,1.1102230246251565e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,51,True,800,0.9821690856032181,0.8996900705959913,-4.2065420474912685e-05,True,100,0.9823949020479252,0.8995052911653495,-6.778933769907569e-05,1.1102230246251565e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,52,True,1300,0.9808170464055102,0.8634042183458025,-2.7296209961835682e-05,True,300,0.9812694862546194,0.8630389636375209,-6.778356177805644e-05,2.220446049250313e-16,0.0
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,53,True,900,0.966010668480921,0.9131379646928682,-4.005049260547011e-05,True,100,0.9662318067715153,0.9129476893724892,-6.775163911704185e-05,2.220446049250313e-16,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,54,True,900,0.9707681084841389,0.8957580231351119,-3.998795563320279e-05,True,200,0.9713162150591025,0.8952368798580763,-6.779729800765466e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,55,True,1000,0.9740432708320387,0.8936126227557613,-3.649005389655402e-05,True,200,0.974065515597432,0.8936128787503451,-6.779688410213369e-05,0.0,1.1102230246251565e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,57,True,1000,0.9863059701122318,0.9029066720801429,-3.7340038836652933e-05,True,100,0.9864237197832795,0.9028051198615777,-6.778910459276366e-05,2.220446049250313e-16,2.220446049250313e-16
How do within-family activation hyperparameters tune the welfare-convergence tradeoff?,hyperparameter_root_power,a,0.0,nrd,root_power,a,0.0,0.5,3,3,3,1.0,56,True,2700,0.9861728829765827,0.9177951414146578,2.2136055925048304e-05,True,600,0.9862373836103467,0.9178197039829126,-6.754099948413916e-05,0.0,0.0
