research_question,experiment_name,sweep_parameter,sweep_value,dynamics,activation_family,activation_param_name,activation_param_value,lam,n,s,k,beta,seed,converged,convergence_step,publisher_welfare,user_welfare,max_improvement,last_converged,last_convergence_step,last_publisher_welfare,last_user_welfare,last_max_improvement,exposure_violation_initial,exposure_violation_terminal
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,31,True,9,1.0,0.9407012543521938,3.625517909955356e-05,,,,,,0.0,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,33,True,9,1.0,0.9553365831396733,5.81121445168975e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,34,True,8,1.0,0.9224813216147799,8.871479244382252e-05,,,,,,1.1102230246251565e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,32,True,8,1.0,0.9671953611229642,6.764616568916137e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,35,True,8,1.0,0.8854274688014464,5.327841782848397e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,37,True,9,1.0,0.9668688259311673,6.916182636462764e-05,,,,,,0.0,2.220446049250313e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,39,True,6,1.0,0.9404031727873119,8.980150902632156e-05,,,,,,1.1102230246251565e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,36,True,9,1.0,0.9456255408696229,3.3282926796829315e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,38,True,9,1.0,0.9718251896457614,8.537509563311119e-05,,,,,,0.0,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,41,True,7,1.0,0.9260664023932813,5.563709722866683e-05,,,,,,2.220446049250313e-16,0.0
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,40,True,9,1.0,0.9516591655571501,4.481464990696571e-05,,,,,,2.220446049250313e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,45,True,7,1.0,0.9903497221436238,6.672009874708618e-05,,,,,,1.1102230246251565e-16,1.1102230246251565e-16
How do ecosystem parameters affect welfare and convergence across stable activation families?,between_family_lambda,lambda,0.0,brd,shifted_linear,b,1.00001,0.0,3,3,3,1.0,44,True,9,1.0,0.9363398047533282,3.886132409292031e-05,,,,,,2.220446049250313e-16,2.220446049250313e-16
